Name_of_Covered_Entity,State,Covered_Entity_Type,Individuals_Affected,Breach_Submission_Date,Breach_Date,Type_of_Breach,Location_of_Breached_Information,Status,Year,Days_to_Report
Liberty Health System,IL,Healthcare Provider,1555,10/24/2021,06/30/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,116
WellCare Health Plans,CA,Health Plan,11551,05/16/2021,01/29/2021,Hacking/IT Incident,Network Server,Archived,2021,107
Kaiser Foundation,NV,Health Plan,16545,01/22/2022,08/17/2021,Hacking/IT Incident,Other,Archived,2021,158
Valley Health Services,GA,Healthcare Provider,11052,08/26/2021,03/14/2021,Hacking/IT Incident,Network Server,Archived,2021,165
Regional Mental Health Services,NJ,Healthcare Provider,1130,12/11/2021,11/17/2021,Hacking/IT Incident,Email,Archived,2021,24
Mountain Pharmacy,AZ,Healthcare Provider,4882,06/29/2021,04/27/2021,Hacking/IT Incident,Network Server,Archived,2021,63
Anthem Blue Cross,LA,Health Plan,7332,05/31/2021,03/11/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,81
Pinnacle Urgent Care,TX,Healthcare Provider,30505,02/22/2022,08/29/2021,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2021,177
CarePoint Technologies,ID,Business Associate,4499,09/29/2021,06/06/2021,Theft,Electronic Medical Record,Archived,2021,115
SecureHealth Corp,DC,Business Associate,33912,12/14/2021,07/14/2021,Hacking/IT Incident,Network Server,Archived,2021,153
American Pharmacy,ME,Healthcare Provider,500,07/20/2021,06/19/2021,Improper Disposal,Electronic Medical Record,Archived,2021,31
Legacy Physicians Group,MO,Healthcare Provider,16420,11/25/2021,09/21/2021,Unauthorized Access/Disclosure,Email,Archived,2021,65
MedBridge Analytics,NH,Business Associate,6371,12/02/2021,06/30/2021,Unauthorized Access/Disclosure,Desktop Computer,Archived,2021,155
Guardian Urgent Care,MT,Healthcare Provider,2092,06/27/2021,05/04/2021,Hacking/IT Incident,Email,Archived,2021,54
Molina Healthcare of HI,HI,Health Plan,1593,03/29/2022,11/30/2021,Hacking/IT Incident,Paper/Films,Archived,2021,119
Community Rehabilitation Center,KS,Healthcare Provider,500,01/23/2022,08/09/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,167
Good Samaritan Mental Health Services,KS,Healthcare Provider,500,07/27/2021,07/04/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,23
HealthFirst IT,VT,Business Associate,16673,07/22/2021,05/24/2021,Hacking/IT Incident,Email,Archived,2021,59
CarePoint Technologies,WV,Business Associate,1176,10/29/2021,09/08/2021,Hacking/IT Incident,Paper/Films,Archived,2021,51
University Dental Group,TX,Healthcare Provider,2228,01/03/2022,12/18/2021,Hacking/IT Incident,Email,Archived,2021,16
Memorial Family Practice,NH,Healthcare Provider,500,01/30/2022,12/13/2021,Other,Network Server,Archived,2021,48
Lakeside Eye Care,PA,Healthcare Provider,37431,08/16/2021,06/09/2021,Hacking/IT Incident,Paper/Films,Archived,2021,68
Horizon Physicians Group,VT,Healthcare Provider,1232,09/12/2021,04/25/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,140
Alliance Healthcare Clearinghouse,NJ,Healthcare Clearinghouse,17650,04/10/2021,01/15/2021,Hacking/IT Incident,Laptop,Archived,2021,85
CarePoint Technologies,MT,Business Associate,2688,12/01/2021,08/11/2021,Hacking/IT Incident,Network Server,Archived,2021,112
Premier Family Practice,SC,Healthcare Provider,10894,09/12/2021,04/09/2021,Hacking/IT Incident,Network Server,Archived,2021,156
Aetna Health Plan,NH,Health Plan,44949,07/09/2021,01/21/2021,Hacking/IT Incident,Network Server,Archived,2021,169
Centene Corp,MA,Health Plan,2876,10/06/2021,07/03/2021,Hacking/IT Incident,Other Portable Electronic Device,Archived,2021,95
Mercy Eye Care,WA,Healthcare Provider,146644,11/17/2021,10/06/2021,Hacking/IT Incident,Network Server,Archived,2021,42
Summit Dental Group,VT,Healthcare Provider,1912,11/11/2021,07/11/2021,Hacking/IT Incident,Network Server,Archived,2021,123
National Dental Group,CA,Healthcare Provider,22048,04/09/2022,12/02/2021,Hacking/IT Incident,Network Server,Archived,2021,128
American Urgent Care,PA,Healthcare Provider,500,10/21/2021,05/01/2021,Loss,Network Server,Archived,2021,173
United Eye Care,NC,Healthcare Provider,500,04/27/2022,11/12/2021,Hacking/IT Incident,Paper/Films,Archived,2021,166
Trinity Home Health,NY,Healthcare Provider,23054,03/05/2022,09/29/2021,Hacking/IT Incident,Other Portable Electronic Device,Archived,2021,157
Alliance Family Practice,TN,Healthcare Provider,1120,03/23/2021,01/30/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,52
Beacon Rehabilitation Center,NC,Healthcare Provider,3672,06/13/2021,05/02/2021,Hacking/IT Incident,Network Server,Archived,2021,42
Regional Family Practice,MD,Healthcare Provider,1148,03/17/2021,02/02/2021,Hacking/IT Incident,Network Server,Archived,2021,43
Central Medical Center,DC,Healthcare Provider,19160,01/31/2022,08/12/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,172
Pinnacle Hospital,OH,Healthcare Provider,500,10/20/2021,09/05/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,45
Horizon Health System,DC,Healthcare Provider,500,02/13/2022,08/28/2021,Theft,Network Server,Archived,2021,169
National Home Health,IL,Healthcare Provider,6530,09/27/2021,08/07/2021,Hacking/IT Incident,Paper/Films,Archived,2021,51
Guardian Dental Group,RI,Healthcare Provider,5359,05/16/2021,02/08/2021,Hacking/IT Incident,Network Server,Archived,2021,97
Central Rehabilitation Center,SC,Healthcare Provider,594,05/09/2021,01/01/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,128
Integrated Home Health,ME,Healthcare Provider,151783,04/17/2021,04/01/2021,Hacking/IT Incident,Email,Archived,2021,16
Summit Surgical Center,FL,Healthcare Provider,3085,12/03/2021,06/08/2021,Hacking/IT Incident,Email,Archived,2021,178
Heritage Clinical Associates,WY,Healthcare Provider,11806,04/19/2021,01/25/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,84
Mercy Dental Group,MI,Healthcare Provider,716,07/07/2021,02/05/2021,Hacking/IT Incident,Network Server,Archived,2021,152
National Surgical Center,PA,Healthcare Provider,3054,11/26/2021,10/09/2021,Hacking/IT Incident,Network Server,Archived,2021,48
Mercy Pharmacy,OH,Healthcare Provider,16808,08/02/2021,06/08/2021,Hacking/IT Incident,Network Server,Archived,2021,55
Integrated Home Health,PA,Healthcare Provider,2916,12/13/2021,10/09/2021,Hacking/IT Incident,Paper/Films,Archived,2021,65
Central Urgent Care,RI,Healthcare Provider,1777,03/21/2021,01/05/2021,Other,Electronic Medical Record,Archived,2021,75
Harmony Dental Group,ME,Healthcare Provider,500,03/04/2022,09/19/2021,Hacking/IT Incident,Network Server,Archived,2021,166
DataSync Health IT,UT,Business Associate,518,06/11/2021,01/26/2021,Hacking/IT Incident,Network Server,Archived,2021,136
Aetna Health Plan,CO,Health Plan,5478,05/01/2022,12/01/2021,Hacking/IT Incident,Email,Archived,2021,151
Humana Health Plan,HI,Health Plan,500,08/09/2021,02/26/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,164
Premier Surgical Center,KY,Healthcare Provider,748,03/22/2022,11/07/2021,Hacking/IT Incident,Network Server,Archived,2021,135
Mountain Home Health,ND,Healthcare Provider,23509,04/26/2021,02/10/2021,Hacking/IT Incident,Paper/Films,Archived,2021,75
Alliance Mental Health Services,AK,Healthcare Provider,703,10/26/2021,07/01/2021,Theft,Network Server,Archived,2021,117
Beacon Family Practice,MS,Healthcare Provider,2331,04/26/2021,02/20/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,65
Trinity Family Practice,PA,Healthcare Provider,500,02/28/2022,12/02/2021,Unauthorized Access/Disclosure,Laptop,Archived,2021,88
Mountain Health System,RI,Healthcare Provider,500,05/07/2021,04/22/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,15
Legacy Health Plan,MD,Healthcare Provider,5937,12/28/2021,11/17/2021,Hacking/IT Incident,Network Server,Archived,2021,41
Integrated Surgical Center,IN,Healthcare Provider,2233,10/22/2021,08/01/2021,Hacking/IT Incident,Other,Archived,2021,82
Providence Hospital,NM,Healthcare Provider,4370,09/25/2021,09/05/2021,Hacking/IT Incident,Email,Archived,2021,20
Central Rehabilitation Center,MA,Healthcare Provider,500,02/06/2022,11/25/2021,Hacking/IT Incident,Network Server,Archived,2021,73
Providence Clinical Associates,ID,Healthcare Provider,22304,10/04/2021,09/05/2021,Hacking/IT Incident,Laptop,Archived,2021,29
Legacy Medical Group,NC,Healthcare Provider,1547,07/15/2021,02/11/2021,Hacking/IT Incident,Network Server,Archived,2021,154
Alliance Medical Center,WY,Healthcare Provider,2867,07/07/2021,02/28/2021,Unauthorized Access/Disclosure,Email,Archived,2021,129
Humana Health Plan,IA,Health Plan,8125,12/12/2021,09/24/2021,Hacking/IT Incident,Network Server,Archived,2021,79
Good Samaritan Pharmacy,GA,Healthcare Provider,7701,04/22/2021,03/11/2021,Unauthorized Access/Disclosure,Paper/Films,Archived,2021,42
Valley Hospital,MT,Healthcare Provider,20635,07/24/2021,02/18/2021,Hacking/IT Incident,Email,Archived,2021,156
Valley Dental Group,TN,Healthcare Provider,2423,04/02/2022,12/28/2021,Hacking/IT Incident,Network Server,Archived,2021,95
Trinity Dental Group,ID,Healthcare Provider,5048,08/01/2021,04/02/2021,Hacking/IT Incident,Laptop,Archived,2021,121
HealthFirst IT,SD,Business Associate,500,09/15/2021,04/19/2021,Hacking/IT Incident,Laptop,Archived,2021,149
Memorial Urgent Care,AZ,Healthcare Provider,500,04/23/2021,03/27/2021,Hacking/IT Incident,Other,Archived,2021,27
Atlantic Dental Group,MA,Healthcare Provider,500,02/19/2022,12/23/2021,Theft,Paper/Films,Archived,2021,58
Community Family Practice,NY,Healthcare Provider,500,01/04/2022,09/27/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,99
Molina Healthcare of AL,AL,Health Plan,1923,02/18/2022,11/04/2021,Hacking/IT Incident,Email,Archived,2021,106
VitalConnect Inc,NM,Business Associate,500,10/16/2021,05/01/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,168
Aetna Health Plan,MN,Health Plan,224768,06/21/2021,03/16/2021,Hacking/IT Incident,Network Server,Archived,2021,97
St. Mary's Urgent Care,PA,Healthcare Provider,2078,07/11/2021,04/05/2021,Unauthorized Access/Disclosure,Laptop,Archived,2021,97
Molina Healthcare of GA,GA,Health Plan,1627,08/03/2021,04/07/2021,Hacking/IT Incident,Email,Archived,2021,118
Valley Surgical Center,MA,Healthcare Provider,7022,09/21/2021,04/17/2021,Hacking/IT Incident,Paper/Films,Archived,2021,157
Horizon Medical Center,MT,Healthcare Provider,11725,02/13/2022,08/29/2021,Hacking/IT Incident,Network Server,Archived,2021,168
Good Samaritan Medical Center,NH,Healthcare Provider,7620,03/25/2022,10/24/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,152
Atlantic Surgical Center,WY,Healthcare Provider,500,07/07/2021,02/25/2021,Hacking/IT Incident,Paper/Films,Archived,2021,132
HealthFirst IT,AZ,Business Associate,3603,03/06/2021,02/02/2021,Hacking/IT Incident,Other Portable Electronic Device,Archived,2021,32
Sacred Heart Hospital,MA,Healthcare Provider,1073,04/25/2021,03/11/2021,Hacking/IT Incident,Network Server,Archived,2021,45
Wellspring Health Plan,HI,Healthcare Provider,1983,06/21/2021,03/29/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,84
Valley Pharmacy,CA,Healthcare Provider,2068,09/04/2021,05/01/2021,Hacking/IT Incident,Paper/Films,Archived,2021,126
Regional Medical Group,MT,Healthcare Provider,30575,01/03/2022,10/11/2021,Hacking/IT Incident,Network Server,Archived,2021,84
Premier Health System,OR,Healthcare Provider,3743,06/10/2022,12/24/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,168
Sacred Heart Healthcare Clearinghouse,CA,Healthcare Clearinghouse,500,10/21/2021,06/22/2021,Hacking/IT Incident,Email,Archived,2021,121
CloudMed Solutions,UT,Business Associate,11647,01/28/2022,12/28/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,31
HealthBridge IT Services,MT,Business Associate,1881,07/24/2021,04/02/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,113
Pacific Medical Center,AK,Healthcare Provider,3888,12/02/2021,06/13/2021,Hacking/IT Incident,Network Server,Archived,2021,172
Pacific Medical Group,OK,Healthcare Provider,5658,01/21/2022,08/10/2021,Hacking/IT Incident,Network Server,Archived,2021,164
Molina Healthcare of NH,NH,Health Plan,17508,06/16/2021,05/09/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,38
Riverside Family Practice,ME,Healthcare Provider,500,07/31/2021,04/29/2021,Hacking/IT Incident,Network Server,Archived,2021,93
Wellspring Pharmacy,WI,Healthcare Provider,1013,09/15/2021,05/19/2021,Hacking/IT Incident,Other Portable Electronic Device,Archived,2021,119
St. Mary's Medical Center,HI,Healthcare Provider,2527,07/21/2021,02/22/2021,Hacking/IT Incident,Paper/Films,Archived,2021,149
Anthem Blue Cross,VA,Health Plan,1357,08/12/2021,05/26/2021,Loss,Other Portable Electronic Device,Archived,2021,78
Premier Medical Group,TX,Healthcare Provider,11114,11/10/2021,08/19/2021,Improper Disposal,Desktop Computer,Archived,2021,83
HealthFirst IT,TN,Business Associate,45146,02/26/2022,09/03/2021,Hacking/IT Incident,Laptop,Archived,2021,176
Beacon Mental Health Services,OH,Healthcare Provider,500,08/24/2021,06/17/2021,Hacking/IT Incident,Network Server,Archived,2021,68
Horizon Clinical Associates,WV,Healthcare Provider,500,04/30/2021,04/14/2021,Hacking/IT Incident,Email,Archived,2021,16
Integrated Home Health,MT,Healthcare Provider,1977,11/13/2021,05/26/2021,Improper Disposal,Network Server,Archived,2021,171
Valley Eye Care,DE,Healthcare Provider,92097,09/21/2021,05/13/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,131
Central Hospital,IL,Healthcare Provider,1477,05/05/2021,02/13/2021,Improper Disposal,Network Server,Archived,2021,81
Premier Dental Group,IA,Healthcare Provider,8665,09/28/2021,08/18/2021,Hacking/IT Incident,Network Server,Archived,2021,41
DataSync Health IT,RI,Business Associate,10824,01/17/2022,09/16/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,123
HealthFirst IT,AL,Business Associate,1463,02/28/2022,12/22/2021,Unauthorized Access/Disclosure,Other,Archived,2021,68
Kaiser Foundation,TX,Health Plan,14094,08/28/2021,05/23/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,97
Lakeside Clinical Associates,NY,Healthcare Provider,797,09/14/2021,04/28/2021,Theft,Paper/Films,Archived,2021,139
Liberty Healthcare,MN,Healthcare Provider,13869,05/27/2022,12/26/2021,Hacking/IT Incident,Network Server,Archived,2021,152
Anthem Blue Cross,VT,Health Plan,500,01/11/2022,09/09/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,124
United Pharmacy,TN,Healthcare Provider,500,03/21/2022,09/22/2021,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2021,180
BlueCross BlueShield of IL,IL,Health Plan,500,05/13/2021,04/24/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,19
Heritage Hospital,HI,Healthcare Provider,5015,12/28/2021,07/13/2021,Hacking/IT Incident,Email,Archived,2021,168
Integrated Urgent Care,MS,Healthcare Provider,2456,05/18/2022,12/29/2021,Hacking/IT Incident,Network Server,Archived,2021,140
Sacred Heart Physicians Group,WI,Healthcare Provider,5292,08/11/2021,04/10/2021,Hacking/IT Incident,Network Server,Archived,2021,123
Riverside Physicians Group,PA,Healthcare Provider,2940,07/19/2021,05/06/2021,Hacking/IT Incident,Network Server,Archived,2021,74
HealthBridge IT Services,GA,Business Associate,1980,06/03/2021,01/25/2021,Hacking/IT Incident,Network Server,Archived,2021,129
Integrated Health Plan,NC,Healthcare Provider,664,10/06/2021,08/08/2021,Loss,Network Server,Archived,2021,59
RxTech Solutions,ID,Business Associate,1045,04/16/2022,11/11/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,156
Mercy Family Practice,MD,Healthcare Provider,500,12/29/2021,07/11/2021,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2021,171
Humana Health Plan,DC,Health Plan,977,08/15/2021,04/08/2021,Unauthorized Access/Disclosure,Desktop Computer,Archived,2021,129
Riverside Hospital,IN,Healthcare Provider,1000,02/26/2022,10/13/2021,Loss,Email,Archived,2021,136
Central Health System,WI,Healthcare Provider,500,03/10/2022,11/02/2021,Hacking/IT Incident,Email,Archived,2021,128
Community Medical Center,DC,Healthcare Provider,500,07/24/2021,01/31/2021,Hacking/IT Incident,Network Server,Archived,2021,174
Cigna Healthcare,MI,Health Plan,1584,11/06/2021,07/23/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,106
Pacific Physicians Group,MN,Healthcare Provider,59559,10/21/2021,06/20/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,123
HealthVault Systems,NY,Business Associate,6393,12/28/2021,12/10/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,18
Kaiser Foundation,WV,Health Plan,3284,04/18/2021,01/31/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,77
Pinnacle Health System,KY,Healthcare Provider,70721,02/21/2022,09/14/2021,Hacking/IT Incident,Network Server,Archived,2021,160
Trinity Family Practice,PA,Healthcare Provider,500,11/11/2021,08/18/2021,Hacking/IT Incident,Network Server,Archived,2021,85
Memorial Clinical Associates,MT,Healthcare Provider,1953,03/27/2022,11/28/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,119
HealthFirst IT,SD,Business Associate,594,12/18/2021,07/16/2021,Hacking/IT Incident,Network Server,Archived,2021,155
University Clinical Associates,MS,Healthcare Provider,500,04/18/2022,11/04/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,165
CarePoint Technologies,TX,Business Associate,732,01/13/2022,09/12/2021,Hacking/IT Incident,Email,Archived,2021,123
Premier Health System,FL,Healthcare Provider,3310,05/24/2021,03/31/2021,Hacking/IT Incident,Network Server,Archived,2021,54
Heritage Pharmacy,TN,Healthcare Provider,2666,12/08/2021,09/06/2021,Hacking/IT Incident,Network Server,Archived,2021,93
Trinity Health Services,WI,Healthcare Provider,1980,08/19/2021,06/23/2021,Hacking/IT Incident,Network Server,Archived,2021,57
VitalConnect Inc,MA,Business Associate,8159,02/06/2022,12/11/2021,Hacking/IT Incident,Email,Archived,2021,57
Beacon Family Practice,NV,Healthcare Provider,986,04/23/2022,12/25/2021,Hacking/IT Incident,Network Server,Archived,2021,119
Legacy Rehabilitation Center,SC,Healthcare Provider,5588,11/18/2021,09/16/2021,Hacking/IT Incident,Laptop,Archived,2021,63
ClinicalPath Software,WY,Business Associate,500,10/09/2021,04/18/2021,Hacking/IT Incident,Network Server,Archived,2021,174
